MJD,Mag,Mag_err,Flux,Flux_err,band,Instr,FilterSet
57985.699,17.55,0.05,2.58811994971e-17,1.19187323488e-18,SIRIUS_Ks,SIRIUS,GeneralFilters
57985.726,19.75,0.12,4.41175544596e-17,4.8760521185e-18,Sinistro_r,Sinistro,GeneralFilters
57985.733,18.84,0.2,6.68635550442e-17,1.23167215113e-17,Sinistro_i,Sinistro,GeneralFilters
57985.736,18.76,0.15,7.19762910647e-17,9.94389168967e-18,Sinistro_i,Sinistro,GeneralFilters
57985.74,18.42,0.34,6.90362301405e-17,2.1618803165e-17,Sinistro_z,Sinistro,GeneralFilters
57985.743,19.89,0.19,5.00047885105e-17,8.75066097238e-18,Sinistro_V,Sinistro,GeneralFilters
57985.969,20.54,0.2,2.70699909801e-17,4.98647641448e-18,EFOSC2_V,EFOSC2,GeneralFilters
57985.973,17.85,0.01,6.06751697822e-17,5.58838943251e-19,FourStar_J,FourStar,GeneralFilters
57985.974,17.72,0.07,3.84204347472e-17,2.47705686879e-18,GROND_H,GROND,GeneralFilters
57985.974,17.95,0.07,5.7535659538e-17,3.70946090529e-18,GROND_J,GROND,GeneralFilters
57985.974,17.63,0.1,2.37360750509e-17,2.18617321484e-18,GROND_K,GROND,GeneralFilters
57985.974,21.13,0.16,2.43915663029e-17,3.59447390051e-18,GROND_g,GROND,GeneralFilters
57985.974,19.03,0.01,5.08796492022e-17,4.68618868233e-19,GROND_i,GROND,GeneralFilters
57985.974,19.81,0.02,4.34946076443e-17,8.01200249142e-19,GROND_r,GROND,GeneralFilters
57985.974,18.74,0.02,4.9825051006e-17,9.17811320565e-19,GROND_z,GROND,GeneralFilters
57985.979,17.54,0.02,2.62802646963e-17,4.84100346286e-19,VISTA_Ks,VIRCAM,GeneralFilters
57985.983,18.05,0.03,7.19140851141e-17,1.98705952407e-18,DECam_Y,DECam,GeneralFilters
57985.984,18.56,0.03,5.60248464831e-17,1.54802365367e-18,DECam_z,DECam,GeneralFilters
57985.984,23.06,0.32,5.09899129692e-18,1.50283019205e-18,DECam_u,DECam,GeneralFilters
57985.984,18.73,0.03,6.86777781765e-17,1.89763706235e-18,DECam_i,DECam,GeneralFilters
57985.985,19.29,0.04,6.34221027475e-17,2.33655651928e-18,DECam_r,DECam,GeneralFilters
57985.986,20.93,0.08,2.7697245545e-17,2.04080838826e-18,DECam_g,DECam,GeneralFilters
57985.989,17.76,0.01,8.95659616842e-17,8.24932959539e-19,VISTA_Y,VIRCAM,GeneralFilters
57985.989,17.86,0.02,5.64944857091e-17,1.04066684301e-18,VISTA_J,VIRCAM,GeneralFilters
57985.989,20.52,0.12,2.70781887808e-17,2.99279190306e-18,Swope_V,E2V4kx4kccd,GeneralFilters
57985.995,21.72,0.13,1.48305498066e-17,1.77572727937e-18,Swope_B,E2V4kx4kccd,GeneralFilters
57986.001,20.77,0.05,3.18605295212e-17,1.46723154735e-18,Swope_g,E2V4kx4kccd,GeneralFilters
57986.005,18.92,0.05,5.92164637542e-17,2.72701882387e-18,Swope_i,E2V4kx4kccd,GeneralFilters
57986.008,19.82,0.09,4.05325487042e-17,3.35986699169e-18,Swope_r,E2V4kx4kccd,GeneralFilters
57986.016,20.55,0.15,2.68218118111e-17,3.70557009294e-18,EFOSC2_V,EFOSC2,GeneralFilters
57986.039,20.9,0.01,2.97259075908e-17,2.7378571572e-19,GMOS_g,GMOS,GeneralFilters
57986.039,18.93,0.01,5.87068680879e-17,5.40710215425e-19,GMOS_i,GMOS,GeneralFilters
57986.039,19.66,0.01,4.71690612624e-17,4.34443091708e-19,GMOS_r,GMOS,GeneralFilters
57986.049,18.46,0.01,6.29066004399e-17,5.79391178296e-19,GMOS_z,GMOS,GeneralFilters
57986.053,20.68,0.31,2.3795131602e-17,6.79399882436e-18,EFOSC2_V,EFOSC2,GeneralFilters
57986.236,18.1,0.3,9.18037894574e-17,2.53663234257e-17,GFC_z,GFC,GeneralFilters
57986.709,17.77,0.04,3.74087151593e-17,1.37818794232e-18,SIRIUS_H,SIRIUS,GeneralFilters
57986.709,18.13,0.12,4.36066540899e-17,4.81958532517e-18,SIRIUS_J,SIRIUS,GeneralFilters
57986.709,17.57,0.07,2.54088143691e-17,1.63816673536e-18,SIRIUS_Ks,SIRIUS,GeneralFilters
57986.715,20.3,0.31,2.65834553538e-17,7.59012252768e-18,Sinistro_r,Sinistro,GeneralFilters
57986.969,20.25,0.28,2.78362950068e-17,7.17868875788e-18,Sinistro_r,Sinistro,GeneralFilters
57986.97,20.24,0.06,2.62101240615e-17,1.44842492429e-18,FORS2_R,FORS2,GeneralFilters
57986.973,17.92,0.1,3.30204776422e-17,3.04129826047e-18,FLAMINGOS-2_H,FLAMINGOS-2,GeneralFilters
57986.974,18.02,0.1,2.91448802221e-17,2.68434256105e-18,GROND_H,GROND,GeneralFilters
57986.974,18.17,0.07,4.69826053032e-17,3.0290803825e-18,GROND_J,GROND,GeneralFilters
57986.974,17.53,0.11,2.60260887553e-17,2.63680038937e-18,GROND_K,GROND,GeneralFilters
57986.974,21.58,0.22,1.6115348043e-17,3.26541236327e-18,GROND_g,GROND,GeneralFilters
57986.974,19.51,0.04,3.26997256037e-17,1.20470236287e-18,GROND_i,GROND,GeneralFilters
57986.974,20.53,0.05,2.24096677432e-17,1.03200329601e-18,GROND_r,GROND,GeneralFilters
57986.974,19.07,0.06,3.67661159037e-17,2.03177056772e-18,GROND_z,GROND,GeneralFilters
57986.975,18.35,0.03,5.45524122963e-17,1.50733879521e-18,DECam_Y,DECam,GeneralFilters
57986.978,18.81,0.03,4.45021174076e-17,1.22963889613e-18,DECam_z,DECam,GeneralFilters
57986.979,17.6,0.02,2.48673630662e-17,4.58073737486e-19,VISTA_Ks,VIRCAM,GeneralFilters
57986.98,18.73,0.01,4.95295300936e-17,4.56183812202e-19,VIMOS_z,VIMOS,GeneralFilters
57986.98,19.22,0.03,4.37337015287e-17,1.20840678161e-18,DECam_i,DECam,GeneralFilters
57986.984,20.25,0.05,2.61963411108e-17,1.20638604193e-18,DECam_r,DECam,GeneralFilters
57986.988,19.39,0.04,3.84098374239e-17,1.41507064808e-18,Swope_i,E2V4kx4kccd,GeneralFilters
57986.989,18.07,0.02,6.73198273266e-17,1.24007699684e-18,VISTA_Y,VIRCAM,GeneralFilters
57986.989,18.08,0.03,4.6132401109e-17,1.27468529769e-18,VISTA_J,VIRCAM,GeneralFilters
57986.991,21.73,0.11,1.32567351923e-17,1.34308942252e-18,DECam_g,DECam,GeneralFilters
57986.997,20.58,0.12,2.01281524553e-17,2.22464553222e-18,Swope_r,E2V4kx4kccd,GeneralFilters
57987.004,21.75,0.1,1.29197166648e-17,1.18994983186e-18,Swope_g,E2V4kx4kccd,GeneralFilters
57987.01,19.28,0.06,4.04151419342e-17,2.23342319017e-18,FORS2_I,FORS2,GeneralFilters
57987.02,22.73,0.13,6.34699489143e-18,7.59953752069e-19,FORS2_B,FORS2,GeneralFilters
57987.02,21.08,0.05,1.6362789746e-17,7.53534284547e-19,FORS2_V,FORS2,GeneralFilters
57987.039,17.72,0.09,2.22341907589e-17,1.84306010863e-18,FLAMINGOS-2_Ks,FLAMINGOS-2,GeneralFilters
57987.049,18.02,0.07,3.01150335304e-17,1.94158788548e-18,FLAMINGOS-2_H,FLAMINGOS-2,GeneralFilters
57987.049,18.15,0.06,4.29956790637e-17,2.37602893625e-18,FLAMINGOS-2_J,FLAMINGOS-2,GeneralFilters
57987.358,20.69,0.33,1.85614299404e-17,5.64158366102e-18,Sinistro_r,Sinistro,GeneralFilters
