#wavelength	flux_tell_corrected	flux_not_tell_corrected	variance/error
3000.56933153	-1.0467575625785302e-14	-1.0467575625785302e-14	5.162820715994998e-14
3000.76931497	-2.208159429038889e-14	-2.208159429038889e-14	5.285203161810001e-14
3000.96929842	-1.6682621190595184e-14	-1.6682621190595184e-14	5.150949886074998e-14
3001.16928187	-1.7924685356665034e-14	-1.7924685356665034e-14	5.196542036760001e-14
3001.36926532	-1.3557137050783664e-14	-1.3557137050783664e-14	4.743296104800002e-14
3001.56924876	-8.157179680058571e-15	-8.157179680058571e-15	4.883060192483999e-14
3001.76923221	-1.2768765290342175e-14	-1.2768765290342175e-14	4.620478169875999e-14
3001.96921566	-1.625870912161309e-14	-1.625870912161309e-14	4.39420502369e-14
3002.16919911	-2.3294445315777277e-14	-2.3294445315777277e-14	4.117448469120002e-14
3002.36918255	-2.09567397267711e-14	-2.09567397267711e-14	4.036543400241002e-14
3002.569166	-2.62251320428983e-14	-2.62251320428983e-14	4.029446543913e-14
3002.76914945	-2.6945655764121638e-14	-2.6945655764121638e-14	3.799125305026e-14
3002.9691329	-2.39973477312787e-14	-2.39973477312787e-14	3.827935349676001e-14
3003.17011626	-1.698495434046429e-14	-1.698495434046429e-14	3.794129028813002e-14
3003.37009971	-2.1250957449593475e-14	-2.1250957449593475e-14	3.648092788476e-14
3003.57008316	-1.97240288096679e-14	-1.97240288096679e-14	3.520082087808001e-14
3003.77006661	-1.6486563212176675e-14	-1.6486563212176675e-14	3.325472014556e-14
3003.97005005	-6.886634143270869e-15	-6.886634143270869e-15	3.232313218515999e-14
3004.1700335	-9.818900547033932e-15	-9.818900547033932e-15	3.18476906352e-14
3004.37001695	-1.3721385102077025e-14	-1.3721385102077025e-14	2.980232423063e-14
3004.5700004	-1.1415022781827602e-14	-1.1415022781827602e-14	3.086724455991e-14
3004.76998384	-1.1243118853619073e-14	-1.1243118853619073e-14	3.042900752339001e-14
3004.96996729	-1.2442938478804238e-14	-1.2442938478804238e-14	2.898006211884e-14
3005.16995074	-9.265161430219144e-15	-9.265161430219144e-15	2.97567575375e-14
3005.36993419	-1.755852415002471e-14	-1.755852415002471e-14	2.76555676918e-14
3005.56991764	-1.9795443113269058e-14	-1.9795443113269058e-14	2.618147722859999e-14
3005.76990108	-2.7295019378510184e-14	-2.7295019378510184e-14	2.5417033082e-14
3005.96988453	-2.213804318850935e-14	-2.213804318850935e-14	2.43785128835e-14
3006.16986798	-1.398589957143559e-14	-1.398589957143559e-14	2.507636013531e-14
3006.36985143	-1.348991757409962e-14	-1.348991757409962e-14	2.346427931132999e-14
3006.56983487	-1.928526085377821e-14	-1.928526085377821e-14	2.340215542259999e-14
3006.76981832	-1.0996258803113742e-14	-1.0996258803113742e-14	2.310366995343001e-14
3006.96980177	-1.1686154178444777e-14	-1.1686154178444777e-14	2.266886824846001e-14
3007.16978522	-6.164112840698276e-15	-6.164112840698276e-15	2.277869068064e-14
3007.36976867	-6.7625152392878836e-15	-6.7625152392878836e-15	2.274921778821999e-14
3007.56975211	-1.0837582972438654e-14	-1.0837582972438654e-14	2.139419149692e-14
3007.76973556	-1.2905101710892467e-14	-1.2905101710892467e-14	2.061590086994e-14
3007.96971901	-6.940953315514348e-15	-6.940953315514348e-15	2.0102175882e-14
3008.16970246	-1.7248747916767245e-14	-1.7248747916767245e-14	1.816492465269001e-14
3008.36968591	-5.2388008214772025e-15	-5.2388008214772025e-15	1.816835809721e-14
3008.56966935	-1.4051129658892571e-14	-1.4051129658892571e-14	1.712321946018e-14
3008.7696528	-5.171588012975845e-15	-5.171588012975845e-15	1.694977787332e-14
3008.96963625	-7.158673042579151e-15	-7.158673042579151e-15	1.677747926151e-14
3009.17061962	-1.38224437777072e-14	-1.38224437777072e-14	1.639617114597e-14
3009.37060306	-1.3811346005248062e-14	-1.3811346005248062e-14	1.569553875168001e-14
3009.57058651	-1.6342785724610993e-14	-1.6342785724610993e-14	1.578878412342e-14
3009.77056996	-8.224100325387262e-15	-8.224100325387262e-15	1.533135660920001e-14
3009.97055341	-8.652134764601781e-15	-8.652134764601781e-15	1.583592015368e-14
3010.17053686	-3.2061307261008062e-15	-3.2061307261008062e-15	1.6157270556e-14
3010.37052031	-3.2069501563639935e-15	-3.2069501563639935e-15	1.498000869955e-14
3010.57050375	-3.1448532237058406e-15	-3.1448532237058406e-15	1.442917529580001e-14
3010.7704872	-7.449921403857594e-15	-7.449921403857594e-15	1.37009039451e-14
3010.97047065	-1.3336662636513757e-14	-1.3336662636513757e-14	1.2840216505545e-14
3011.1704541	-2.103812024467652e-15	-2.103812024467652e-15	1.309922293117501e-14
3011.37043755	-5.890474965706209e-15	-5.890474965706209e-15	1.2826663419676e-14
3011.570421	-6.457023681986206e-15	-6.457023681986206e-15	1.199780139168e-14
