wavelength	flux
4781.5	2.5096022e-16
4783.5	2.5347179e-16
4785.5	2.7489249e-16
4787.4	2.7211946e-16
4789.4	2.6345121e-16
4791.4	2.7655633e-16
4793.4	2.7554725e-16
4795.4	2.6975912e-16
4797.3	2.8368008e-16
4799.3	2.8471225e-16
4801.3	2.5814065e-16
4803.3	2.4912951e-16
4805.3	2.7004048e-16
4807.2	2.7399148e-16
4809.2	2.5457681e-16
4811.2	2.6430304e-16
4813.2	2.5059502e-16
4815.2	2.5975449e-16
4817.1	2.5883524e-16
4819.1	2.7122515e-16
4821.1	2.7321206e-16
4823.1	2.504963e-16
4825.1	2.6193486e-16
4827.0	2.6739907e-16
4829.0	2.7281065e-16
4831.0	2.8212393e-16
4833.0	2.8431163e-16
4835.0	2.8749311e-16
4837.0	2.7097886e-16
4838.9	2.6420893e-16
4840.9	2.8226033e-16
4842.9	2.8272708e-16
4844.9	2.8510382e-16
4846.9	2.6979785e-16
4848.8	2.5510493e-16
4850.8	2.5482051e-16
4852.8	2.7070014e-16
4854.8	2.7734369e-16
4856.8	2.7079603e-16
4858.7	2.7102807e-16
4860.7	2.7048448e-16
4862.7	2.5799303e-16
4864.7	2.6840103e-16
4866.7	2.9322498e-16
4868.6	2.9095189e-16
4870.6	2.7012662e-16
4872.6	2.6681425e-16
4874.6	2.8016289e-16
4876.6	2.7256834e-16
4878.5	2.6415435e-16
4880.5	2.7129223e-16
4882.5	2.7996224e-16
4884.5	2.6220931e-16
4886.5	2.6154488e-16
4888.5	2.8198652e-16
4890.4	2.7485522e-16
4892.4	2.8733029e-16
4894.4	2.9321871e-16
4896.4	2.8967881e-16
4898.4	2.827538e-16
4900.3	2.6908095e-16
4902.3	2.7217377e-16
4904.3	2.6403069e-16
4906.3	2.5610636e-16
4908.3	2.7267558e-16
4910.2	2.5452631e-16
4912.2	2.6841296e-16
4914.2	2.7309787e-16
4916.2	2.6682898e-16
4918.2	2.7779257e-16
4920.1	2.8469524e-16
4922.1	2.744841e-16
4924.1	2.6640381e-16
4926.1	2.7174741e-16
4928.1	2.6511314e-16
4930.0	2.6517794e-16
4932.0	2.8166721e-16
4934.0	2.6443162e-16
4936.0	2.7297871e-16
4938.0	2.7816972e-16
4939.9	2.8131242e-16
4941.9	2.762396e-16
4943.9	2.855721e-16
4945.9	2.831947e-16
4947.9	2.8004244e-16
4949.9	2.7213259e-16
4951.8	2.8866972e-16
4953.8	2.7379714e-16
4955.8	2.6745203e-16
4957.8	2.9190347e-16
4959.8	2.9309687e-16
4961.7	2.8063208e-16
4963.7	2.6764277e-16
4965.7	2.7365704e-16
4967.7	2.7306865e-16
4969.7	2.7587028e-16
4971.6	2.8691917e-16
4973.6	2.71337e-16
4975.6	2.5430286e-16
4977.6	2.7517358e-16
4979.6	2.7699706e-16
4981.5	2.7854999e-16
4983.5	2.7562051e-16
4985.5	2.6574815e-16
4987.5	2.7718223e-16
4989.5	2.8438712e-16
4991.4	2.7121603e-16
4993.4	2.7155939e-16
4995.4	2.7078922e-16
4997.4	2.7809486e-16
4999.4	2.8596938e-16
5001.4	2.5915301e-16
5003.3	2.5970568e-16
5005.3	2.7207132e-16
5007.3	2.7067888e-16
5009.3	2.7932227e-16
5011.3	2.8102425e-16
5013.2	2.6455107e-16
5015.2	2.6541749e-16
5017.2	2.5881748e-16
5019.2	2.6729162e-16
5021.2	2.8392549e-16
5023.1	2.7604382e-16
5025.1	2.6106069e-16
5027.1	2.5775205e-16
5029.1	2.942649e-16
5031.1	2.7033819e-16
5033.0	2.6904314e-16
5035.0	2.6823898e-16
5037.0	2.6955083e-16
5039.0	2.7011245e-16
5041.0	2.6468431e-16
5042.9	2.7318727e-16
5044.9	2.6678443e-16
5046.9	2.7363448e-16
5048.9	2.7600343e-16
5050.9	2.4272405e-16
5052.9	2.605375e-16
5054.8	2.7350961e-16
5056.8	2.8277714e-16
5058.8	2.7090013e-16
5060.8	2.7452867e-16
5062.8	2.6536591e-16
5064.7	2.6540087e-16
