#wavelength	flux_tell_corrected	flux_not_tell_corrected	variance/error
20991.7163939	6.3129173165201745e-18	6.23157372819669e-18	1.0701376905056e-18
20992.3163651	6.595492293131975e-18	6.522646710376394e-18	1.0712447320365e-18
20992.9163362	8.151294318047206e-18	8.05442543827006e-18	1.07059574289e-18
20993.5163074	9.731101006597014e-18	9.576748447168552e-18	1.0723712886225e-18
20994.1162785	8.109537208622873e-18	7.92939627859394e-18	1.0755864926205e-18
20994.7162497	7.851806886760701e-18	7.628577060745846e-18	1.0740157574874e-18
20995.3162208	8.875264533269232e-18	8.597454513330881e-18	1.0746973575368e-18
20995.916192	9.591030492621527e-18	9.30937941255871e-18	1.0817991770233e-18
20996.5161631	1.0465034053094768e-17	1.0211361201041179e-17	1.1042624028174e-18
20997.1161343	9.039445988366247e-18	8.867358441631346e-18	1.1140487059056e-18
20997.7161054	8.141953996367321e-18	8.013061713217731e-18	1.1079032016451e-18
20998.3160766	7.337365627631769e-18	7.227402930284933e-18	1.0971257997744e-18
20998.9160478	7.857104974140436e-18	7.728797401588236e-18	1.0962345012528e-18
20999.5160189	8.252180407068432e-18	8.086660683328865e-18	1.114466526771e-18
21000.1159901	1.0340527362255288e-17	1.0069934464432753e-17	1.1703156992796e-18
21000.7159612	1.1161543301469317e-17	1.0791249046813119e-17	1.197179792068e-18
21001.3159324	9.787563872945489e-18	9.415925487637547e-18	1.2583417763725e-18
21001.9159036	8.163726068487732e-18	7.855544077682595e-18	1.2638671865572e-18
21002.5158747	6.576783993011566e-18	6.363756000684755e-18	1.272294694356e-18
21003.1158459	8.406580216607192e-18	8.200380256733326e-18	1.2579876450911e-18
21003.7158171	8.4582414778514e-18	8.311905367006092e-18	1.2332670261221e-18
21004.3157883	8.072252110329546e-18	7.971361276729476e-18	1.1936933305968e-18
21004.9157594	9.417231126000973e-18	9.317456221497947e-18	1.1780776485072e-18
21005.5157306	9.426994635344138e-18	9.318127129517814e-18	1.1498037759516e-18
21006.1157018	7.920543245312785e-18	7.800873244229696e-18	1.1844425445344e-18
21006.715673	8.781097664991925e-18	8.601419511585177e-18	1.2270596481523e-18
21007.3156441	9.688759298482464e-18	9.439519755150627e-18	1.3984321449758e-18
21007.9156153	9.52322037079277e-18	9.252989560698663e-18	1.531332739296e-18
21008.5155865	9.165680192918468e-18	8.917568845211738e-18	1.660291992e-18
21009.1155577	8.183277815511869e-18	7.995241340625049e-18	1.691790809055e-18
21009.7155289	1.1562436188925399e-17	1.1346841809884663e-17	1.7831482656e-18
21010.3155	1.1154059652628164e-17	1.0978630090803778e-17	1.728243666758e-18
21013.315356	2.8614037186556527e-17	2.7352163877922996e-17	1.701138003504e-18
21013.9153272	1.3713051343820704e-17	1.2901762607416392e-17	1.618787674998e-18
21014.5152984	9.057241242973491e-18	8.448815832941018e-18	1.608292529682e-18
21015.1152696	9.964506082556443e-18	9.336044804718426e-18	1.489427843468e-18
21015.7152408	1.0047781419759374e-17	9.555741324364581e-18	1.546454296004e-18
21016.315212	8.22220653832472e-18	7.955193557419105e-18	1.577237156064e-18
21016.9151832	5.56087842017677e-18	5.448235749047165e-18	1.607033999025e-18
21017.5151544	6.700658023825302e-18	6.605986286909637e-18	1.60636571238e-18
21018.1151256	9.612890578273446e-18	9.494404614131525e-18	1.594820892805e-18
21018.7150968	9.881991843647032e-18	9.755409016694836e-18	1.584101674466e-18
21019.315068	9.076368310460125e-18	8.940052692276752e-18	1.56424450713e-18
21019.9250387	7.953799771358874e-18	7.802108851734691e-18	1.543440503267e-18
21020.5250099	7.52024924907894e-18	7.340895059531867e-18	1.554385899465e-18
21021.1249811	8.54440172979857e-18	8.31686429006623e-18	1.710352984802001e-18
21021.7249523	8.689496193184947e-18	8.469959492016715e-18	1.765763998779e-18
21022.3249236	6.98787966934903e-18	6.845888700826694e-18	1.880654874617999e-18
21022.9248948	5.943800632214275e-18	5.858177076553574e-18	1.892191679868e-18
21023.524866	7.223458852575306e-18	7.152292958611475e-18	1.90005239744e-18
21024.1248372	9.907544956905762e-18	9.833040599462106e-18	1.861384820580001e-18
21024.7248084	9.88959731193697e-18	9.818119654307488e-18	1.829527395936e-18
21025.3247796	8.375848335114307e-18	8.303590574988013e-18	1.666138353e-18
21025.9247509	9.267343756727632e-18	9.159025020520873e-18	1.588721501680001e-18
21026.5247221	1.122068039843337e-17	1.1037757596699006e-17	1.439330156825e-18
21027.1246933	1.0133809191143411e-17	9.918609315636663e-18	1.498233313824e-18
21027.7246645	7.702710236395104e-18	7.517322551556331e-18	1.572564148122e-18
21028.3246357	6.001042306723983e-18	5.8627762313890015e-18	2.012748081202e-18
21028.924607	3.0267659999060847e-18	2.969861379404229e-18	2.555709492116e-18
21029.5245782	9.671771113049931e-19	9.538977273305495e-19	2.840753227103001e-18
21030.1245494	3.822543314437906e-18	3.784746530366704e-18	2.881254283082999e-18
21030.7245207	1.0145167015016112e-17	1.0064181037864446e-17	3.005034352152e-18
21031.3244919	7.80350000307777e-18	7.742480638109854e-18	2.440773387617e-18
21031.9244631	7.234555149584013e-18	7.168575880837673e-18	2.407143160486e-18
21032.5244344	5.709754749488827e-18	5.64224461054923e-18	2.0864056007e-18
21033.1244056	5.717267847957485e-18	5.627701508730698e-18	1.931480071290001e-18
21033.7243768	8.386298735509117e-18	8.222430665979001e-18	1.540332996315e-18
21034.3243481	8.695838213983702e-18	8.507760402053342e-18	1.472637434200001e-18
21034.9243193	9.262742169858187e-18	9.071061695878843e-18	1.41251017594e-18
21035.5242906	1.0202690009297025e-17	1.0026466273575176e-17	1.4416680067898e-18
21036.1242618	9.558522917465388e-18	9.432634459376563e-18	1.455251108004001e-18
21036.724233	8.491541682784525e-18	8.40820233111462e-18	1.487924168953e-18
21037.3242043	8.044034064079188e-18	7.983748688295484e-18	1.496435506033001e-18
21037.9241755	7.917787302248657e-18	7.870028792772128e-18	1.513447874636e-18
21038.5241468	8.219160235873894e-18	8.173254977493222e-18	1.508190672645e-18
21039.124118	8.62616881209905e-18	8.568943396065994e-18	1.501910208396e-18
21039.7240893	7.69405594128119e-18	7.62210865485876e-18	1.503333291276e-18
21040.3240605	6.763940654081087e-18	6.6762497964848914e-18	1.495937840062e-18
21040.9240318	7.433772883117001e-18	7.316803179188762e-18	1.473448966171e-18
21041.524003	8.345314557596103e-18	8.21168573576362e-18	1.482471560412e-18
21042.1239743	7.758481392124964e-18	7.6522237333316e-18	1.50052070151e-18
21042.7239456	6.659192675684284e-18	6.589953827794006e-18	1.50746530537e-18
21043.3239168	6.3641895809423236e-18	6.313686691010522e-18	1.50814159776e-18
21043.9238881	5.756936785686546e-18	5.717070314577698e-18	1.479476620978e-18
21044.5238593	6.332735168155265e-18	6.2890174162660466e-18	1.462814275371e-18
21045.1238306	8.146343414273727e-18	8.086333220728638e-18	1.4288454193364e-18
21045.7238019	9.036850045015485e-18	8.961569941322932e-18	1.4061869578876e-18
21046.3237731	9.241797281442368e-18	9.149369825620458e-18	1.3771080862565e-18
21046.9237444	8.198591127368333e-18	8.098822940409008e-18	1.3683803052912e-18
21047.5237157	6.650091512549821e-18	6.557053246520953e-18	1.390257312483e-18
21048.1236869	7.569251667588604e-18	7.460459956259559e-18	1.56904932455e-18
21048.7236582	8.643428344943008e-18	8.532805285754605e-18	1.679823068396e-18
21049.3236295	6.766078340909512e-18	6.698994616705228e-18	1.858303457604e-18
21049.9236008	5.502850030709734e-18	5.4634631090228364e-18	1.921103277291e-18
21050.523572	5.304077978823082e-18	5.2738243105524305e-18	1.9604590698e-18
21051.1235433	4.0025642817134286e-18	3.979580498397607e-18	1.950375434699999e-18
21051.7235146	4.322871005302354e-18	4.294620745077563e-18	1.934470500525e-18
21052.3234859	6.7801481057115285e-18	6.732233875888196e-18	1.839314323319001e-18
21052.9234571	8.313004980568067e-18	8.256274889406633e-18	1.718988526824e-18
21053.5234284	8.603323355754648e-18	8.550797882390612e-18	1.521662855167e-18
21054.1233997	9.018495798591564e-18	8.968372992265954e-18	1.4208672164625e-18
21054.723371	1.0255297428530271e-17	1.0199099611565453e-17	1.3724491502514e-18
21055.3233423	9.588731831038487e-18	9.534654367128627e-18	1.406761026345e-18
21055.9233136	7.481522068653919e-18	7.439446173264538e-18	2.124832283712e-18
21056.5232849	2.740362564034969e-18	2.7261278836556212e-18	2.77961743192e-18
21057.1232561	5.891975970478314e-18	5.8659989367521925e-18	3.544057998083e-18
21057.7232274	7.610303348840808e-18	7.583149610804758e-18	3.789890216086e-18
21058.3231987	5.249561408491171e-18	5.233627460510335e-18	4.402895232492001e-18
21058.92317	8.176649102204092e-18	8.152011627905854e-18	4.182080862909999e-18
21059.5231413	1.29339028584762e-17	1.288965033434395e-17	4.25468869067e-18
21060.1231126	1.3282161008521614e-17	1.3229456765478692e-17	3.27998665475e-18
21060.7230839	1.2500276895253331e-17	1.2445407012008023e-17	3.093000111824999e-18
21061.3230552	1.1103673550880775e-17	1.1051855507199046e-17	2.688051415139999e-18
21061.9230265	5.278336432960746e-18	5.252036192357945e-18	2.405750310714e-18
21062.5229978	3.897169951101574e-18	3.875772324381162e-18	2.364921191754999e-18
21063.1229691	7.537638378339043e-18	7.490919121835944e-18	2.544643482494999e-18
21063.7229404	9.024388586961755e-18	8.961003340162315e-18	3.038009664858e-18
21064.3229117	8.557024565215306e-18	8.490347791152906e-18	3.201540878592001e-18
21064.922883	6.403282000598048e-18	6.3510646563124206e-18	3.340494820736e-18
21065.5328539	2.2899516887366424e-18	2.2722088553965175e-18	3.420775126819998e-18
21066.1328252	3.2304215887656174e-18	3.2091141267386498e-18	3.436546130847998e-18
21066.7327965	9.117839941825238e-18	9.070190722393225e-18	3.256185665999999e-18
21067.3327678	1.0864494547731932e-17	1.081868521596385e-17	2.946524715124001e-18
21067.9327391	8.147491018726027e-18	8.117313552543724e-18	2.31718910176e-18
21068.5327104	7.082528505806851e-18	7.058092966017664e-18	2.001917387829999e-18
21069.1326817	1.0040223896797271e-17	1.0006892679542403e-17	1.787598290249999e-18
21069.7326531	9.91817265720606e-18	9.882588327787767e-18	1.729930223904e-18
21070.3326244	7.2827863616208e-18	7.248072847561315e-18	1.702564783166e-18
21070.9325957	6.380303355157911e-18	6.335328163502509e-18	1.668568447832e-18
21071.532567	6.340902626097246e-18	6.279059376682097e-18	1.674757679616e-18
21072.1325383	6.167139679902951e-18	6.096595115015283e-18	1.681849747314e-18
21072.7325097	6.736052274713259e-18	6.661988175838504e-18	1.7116095567e-18
21073.332481	6.425179781605181e-18	6.369322548809553e-18	1.72404825032e-18
21073.9324523	5.3026216739150255e-18	5.271246671909395e-18	1.860919289964e-18
21074.5324236	4.31578238769823e-18	4.298850613427824e-18	2.154447082962001e-18
21075.132395	6.350528698488133e-18	6.330976265477685e-18	1.996811270400001e-18
21075.7323663	8.752089627262554e-18	8.725214995003257e-18	1.915987009532e-18
21076.3323376	1.0148280134349053e-17	1.0112393320129634e-17	1.53638447123e-18
21076.932309	1.0139730261248589e-17	1.0093596637914276e-17	1.41657148332e-18
21077.5322803	8.982957169139901e-18	8.923609634673164e-18	1.39523854401e-18
21078.1322516	7.754159822517537e-18	7.67736084878062e-18	1.357477656482e-18
21078.732223	7.882413884453274e-18	7.77627637206607e-18	1.3399953237696e-18
21079.3321943	8.011588910489833e-18	7.888474624741608e-18	1.3280076757652e-18
21079.9321657	7.96835380771623e-18	7.854044348956923e-18	1.3242580592076e-18
21080.532137	7.789687524422044e-18	7.70387954085933e-18	1.324466546256001e-18
21081.1321084	8.372178784499353e-18	8.31193081341248e-18	1.3304777065424e-18
21081.7320797	1.0282983358437488e-17	1.0238383709716031e-17	1.3307304283034e-18
21082.332051	1.0952594787519988e-17	1.0921388801646021e-17	1.3355784333568e-18
21082.9320224	9.173930570078656e-18	9.150806346791387e-18	1.3347601511097e-18
