#wls	flux	flux_err
4634.2000	7.9804e-16	1.7332e-17
4636.1000	7.9710e-16	1.7995e-17
4638.1000	7.9606e-16	2.0763e-17
4640.1000	7.9416e-16	2.0949e-17
4642.0000	7.9300e-16	2.0870e-17
4644.0000	7.9160e-16	2.0739e-17
4646.0000	7.9127e-16	2.0755e-17
4647.9000	7.9056e-16	2.0582e-17
4649.9000	7.8892e-16	2.0597e-17
4651.9000	7.8721e-16	1.9861e-17
4653.9000	7.8614e-16	1.9911e-17
4655.8000	7.8476e-16	1.9930e-17
4657.8000	7.8326e-16	1.9639e-17
4659.8000	7.8213e-16	1.8624e-17
4661.7000	7.8068e-16	1.9249e-17
4663.7000	7.8030e-16	1.9472e-17
4665.7000	7.8021e-16	1.9876e-17
4667.7000	7.7898e-16	1.9592e-17
4669.6000	7.7816e-16	2.0282e-17
4671.6000	7.7851e-16	2.0067e-17
4673.6000	7.7800e-16	1.9433e-17
4675.5000	7.7715e-16	1.9421e-17
4677.5000	7.7679e-16	1.9523e-17
4679.5000	7.7634e-16	2.0081e-17
4681.5000	7.7545e-16	2.0457e-17
4683.4000	7.7528e-16	2.0867e-17
4685.4000	7.7420e-16	2.0244e-17
4687.4000	7.7282e-16	1.7750e-17
4689.3000	7.7312e-16	1.6998e-17
4691.3000	7.7278e-16	1.7308e-17
4693.3000	7.7299e-16	1.7290e-17
4695.2000	7.7348e-16	1.7542e-17
4697.2000	7.7342e-16	1.8474e-17
4699.2000	7.7320e-16	1.8248e-17
4701.2000	7.7287e-16	1.7923e-17
4703.1000	7.7323e-16	1.7641e-17
4705.1000	7.7379e-16	1.7462e-17
4707.1000	7.7368e-16	1.7315e-17
4709.0000	7.7371e-16	1.7314e-17
4711.0000	7.7338e-16	1.7235e-17
4713.0000	7.7295e-16	1.6251e-17
4715.0000	7.7257e-16	1.4859e-17
4716.9000	7.7215e-16	1.5083e-17
4718.9000	7.7121e-16	1.4947e-17
4720.9000	7.7081e-16	1.4896e-17
4722.8000	7.7060e-16	1.6121e-17
4724.8000	7.7000e-16	1.6135e-17
4726.8000	7.6899e-16	1.5845e-17
4728.8000	7.6890e-16	1.5248e-17
4730.7000	7.6870e-16	1.5053e-17
4732.7000	7.6895e-16	1.3957e-17
4734.7000	7.6947e-16	1.5405e-17
4736.6000	7.6952e-16	1.7801e-17
4738.6000	7.6949e-16	1.8548e-17
4740.6000	7.6982e-16	1.8786e-17
4742.5000	7.6969e-16	1.8809e-17
4744.5000	7.6955e-16	1.8497e-17
4746.5000	7.6938e-16	1.7747e-17
4748.5000	7.6876e-16	1.7612e-17
4750.4000	7.6887e-16	1.7624e-17
4752.4000	7.6912e-16	1.7563e-17
4754.4000	7.6884e-16	1.7455e-17
4756.3000	7.6860e-16	1.7294e-17
4758.3000	7.6856e-16	1.7708e-17
4760.3000	7.6821e-16	1.7510e-17
4762.3000	7.6767e-16	1.7806e-17
4764.2000	7.6624e-16	1.8396e-17
4766.2000	7.6503e-16	1.8180e-17
4768.2000	7.6440e-16	1.7678e-17
4770.1000	7.6441e-16	1.7659e-17
4772.1000	7.6458e-16	1.6879e-17
4774.1000	7.6376e-16	1.6377e-17
4776.1000	7.6295e-16	1.6249e-17
4778.0000	7.6204e-16	1.6459e-17
4780.0000	7.6115e-16	1.5780e-17
4782.0000	7.5980e-16	1.5776e-17
4783.9000	7.5933e-16	1.5050e-17
4785.9000	7.5820e-16	1.4705e-17
4787.9000	7.5736e-16	1.3893e-17
4789.8000	7.5666e-16	1.3442e-17
4791.8000	7.5438e-16	1.3641e-17
4793.8000	7.5323e-16	1.3975e-17
4795.8000	7.5258e-16	1.4609e-17
4797.7000	7.5152e-16	1.5166e-17
4799.7000	7.5088e-16	1.5127e-17
4801.7000	7.5004e-16	1.5652e-17
4803.6000	7.4904e-16	1.5892e-17
4805.6000	7.4841e-16	1.6132e-17
4807.6000	7.4781e-16	1.5695e-17
4809.6000	7.4764e-16	1.5924e-17
4811.5000	7.4751e-16	1.6301e-17
4813.5000	7.4662e-16	1.5559e-17
