"MJD	band	Flux	Flux_err	FilterSet	Instr	Phase	Log_Phase	Log_Flux	Log_Flux_err"
"57984.379	Skymapper_i	1.5947446379130522e-16	1.0281698229854429e-17	GeneralFilters	Skymapper	1.8504814800035092	0.2672847429450299	-15.797308849424368	0.0279999988691836"
"57984.392	Skymapper_i	1.302240358142929e-16	9.595261168142449e-18	GeneralFilters	Skymapper	1.8634814800025197	0.2703250809252873	-15.88530884942287	0.0319999987075154"
"57984.456	Skymapper_r	1.87032318981569e-16	2.9284731229769955e-17	GeneralFilters	Skymapper	1.9274814800010065	0.2849902138711095	-15.728083341364105	0.0679999972537485"
"57984.699	SIRIUS_H	4.97902236137519e-17	1.8343395526389113e-18	GeneralFilters	SIRIUS	2.170481480003218	0.3365560845001175	-16.302855923252547	0.0159999993538476"
"57984.699	SIRIUS_J	7.123394800007487e-17	2.624355522496521e-18	GeneralFilters	SIRIUS	2.170481480003218	0.3365560845001175	-16.147312985079378	0.0159999993538385"
"57984.699	SIRIUS_Ks	2.5380296298350873e-17	9.350446328322956e-19	GeneralFilters	SIRIUS	2.170481480003218	0.3365560845001175	-16.595503312107837	0.0159999993537783"
"57984.738	Sinistro_r	1.2196806998458336e-16	1.1233673937015009e-17	GeneralFilters	Sinistro	2.2094814800002496	0.3442903656324577	-15.913753848378274	0.039999998384517"
"57984.741	Sinistro_r	1.2538516379508403e-16	1.2703239884602776e-17	GeneralFilters	Sinistro	2.2124814800044987	0.344879644040817	-15.901753848378611	0.0439999982230161"
"57984.745	Sinistro_i	1.3073613982479607e-16	1.4449491576864413e-17	GeneralFilters	Sinistro	2.2164814800053136	0.3456641068669799	-15.88360434235878	0.0479999980613587"
"57984.748	Sinistro_i	1.3944265964125068e-16	1.9264714586969877e-17	GeneralFilters	Sinistro	2.219481480002287	0.346251525497286	-15.855604342360316	0.0599999975766889"
"57984.751	Sinistro_V	1.4650866880123711e-16	9.445762568269938e-18	GeneralFilters	Sinistro	2.22248147999926	0.3468381506691859	-15.834136677691037	0.027999998869236"
"57984.751	Sinistro_z	9.41668913053998e-17	2.60192725699887e-17	GeneralFilters	Sinistro	2.22248147999926	0.3468381506691859	-16.026101766536815	0.1199999951536549"
"57984.758	Sinistro_g	1.0162835810924923e-16	1.965666636835419e-17	GeneralFilters	Sinistro	2.229481480004324	0.3482038690761471	-15.992985090753631	0.0839999966073693"
"57984.761	Sinistro_g	1.145552267360526e-16	2.1101851740360628e-17	GeneralFilters	Sinistro	2.2324814800012973	0.3487878647983878	-15.940985090753584	0.0799999967691997"
"57984.761	GFC_r	1.3582612271811458e-16	8.757033397778478e-18	GeneralFilters	GFC	2.2324814800012973	0.3487878647983878	-15.867016696467136	0.0279999988690722"
"57984.962	FourStar_Ks	2.6956538500411853e-17	1.4896733088708116e-18	GeneralFilters	FourStar	2.4334814800022286	0.3862280453962735	-16.569335876479688	0.0239999990307089"
"57984.963	FourStar_J	8.718878018378331e-17	8.030383096778527e-19	GeneralFilters	FourStar	2.4344814800060703	0.3864064750569955	-16.059539398298824	0.0039999998384525"
"57984.968	FLAMINGOS-2_H	4.235679177791601e-17	3.511084082256298e-18	GeneralFilters	FLAMINGOS-2	2.439481480003451	0.3872975253944474	-16.37307694199971	0.0359999985460956"
"57984.968	Sinistro_r	1.0429083667853503e-16	1.0566094711634633e-17	GeneralFilters	Sinistro	2.439481480003451	0.3872975253944474	-15.981753848378572	0.0439999982229935"
"57984.969	GROND_H	4.3682627719933937e-17	3.2186548271557786e-18	GeneralFilters	GROND	2.4404814800000167	0.3874755162890711	-16.35969124461783	0.0319999987076586"
"57984.969	GROND_J	7.682638352543517e-17	6.368374019152949e-18	GeneralFilters	GROND	2.4404814800000167	0.3874755162890711	-16.114489610023075	0.0359999985460527"
"57984.969	GROND_K	2.391203878963073e-17	2.2023800734549265e-18	GeneralFilters	GROND	2.4404814800000167	0.3874755162890711	-16.621383393464388	0.0399999983844925"
"57984.969	GROND_g	8.469996939402086e-17	8.581270677184087e-18	GeneralFilters	GROND	2.4404814800000167	0.3874755162890711	-16.072116746599757	0.043999998222931"
"57984.969	GROND_i	9.366709963901572e-17	3.4508233379632244e-18	GeneralFilters	GROND	2.4404814800000167	0.3874755162890711	-16.028412927301407	0.0159999993538407"
"57984.969	GROND_r	1.058131061323524e-16	1.6567769626925382e-17	GeneralFilters	GROND	2.4404814800000167	0.3874755162890711	-15.97546053675791	0.0679999972538186"
"57984.969	GROND_z	8.409719146554881e-17	4.647382358659085e-18	GeneralFilters	GROND	2.4404814800000167	0.3874755162890711	-16.075218507785696	0.0239999990307284"
"57984.971	FourStar_H	4.8560833477085556e-17	4.472617870067649e-19	GeneralFilters	FourStar	2.442481480000424	0.3878312793860557	-16.31371386782669	0.0039999998384476"
"57984.975	DECam_Y	1.0531809831165964e-16	2.9100464808050674e-18	GeneralFilters	DECam	2.446481480001239	0.3885419324753929	-15.977496991383372	0.0119999995153321"
"57984.975	Sinistro_i	1.0101727701271963e-16	1.3956052007447424e-17	GeneralFilters	Sinistro	2.446481480001239	0.3885419324753929	-15.995604342359886	0.0599999975769099"
"57984.976	DECam_z	9.147719408461111e-17	2.527608179298831e-18	GeneralFilters	DECam	2.447481480005081	0.3887194141985547	-16.038687165143767	0.0119999995153729"
"57984.976	DECam_i	1.1438568961236564e-16	3.1605932773990877e-18	GeneralFilters	DECam	2.447481480005081	0.3887194141985547	-15.941628305185748	0.0119999995153812"
"57984.977	DECam_r	1.0368713943612612e-16	2.8649814234970062e-18	GeneralFilters	DECam	2.4484814800016466	0.3888968234191712	-15.984275106853849	0.0119999995153358"
"57984.978	DECam_g	7.675328732748088e-17	3.5346193620147255e-18	GeneralFilters	DECam	2.4494814800054883	0.3890741601990334	-16.11490301470926	0.01999999919224"
"57984.978	Sinistro_i	1.1598335243578976e-16	1.0682461102737877e-17	GeneralFilters	Sinistro	2.4494814800054883	0.3890741601990334	-15.935604342360328	0.0399999983845405"
"57984.979	VISTA_Ks	2.41557355052794e-17	6.674476108595326e-19	GeneralFilters	VIRCAM	2.450481480002054	0.3892514245946976	-16.616979734371988	0.0119999995153304"
"57984.98	DECam_u	1.6798611769072226e-17	2.4755348147351797e-18	GeneralFilters	DECam	2.4514814800058957	0.3894286166678076	-16.774726606723103	0.0639999974151587"
"57984.98	FourStar_J1	1.1642879539137926e-16	1.0723487913411073e-18	GeneralFilters	FourStar	2.4514814800058957	0.3894286166678076	-15.933939595863205	0.0039999998384381"
"57984.982	Sinistro_z	9.951721951975211e-17	1.833174855266319e-17	GeneralFilters	Sinistro	2.453481480006303	0.3897827840771038	-16.002101766536875	0.079999996769196"
"57984.989	VISTA_J	7.392458215910889e-17	1.3617410720890206e-18	GeneralFilters	VIRCAM	2.4604814800040913	0.3910201004563429	-16.131211121539838	0.0079999996769194"
"57984.999	VISTA_Y	1.2682384069020175e-16	2.336181385726701e-18	GeneralFilters	VIRCAM	2.4704814800061285	0.3927816025438768	-15.896799098923031	0.0079999996769107"
"57985.0	IMACS_i	1.2271339313976884e-16	2.2604641467530498e-18	GeneralFilters	IMACS	2.4714814800026943	0.392957360431928	-15.91110803507845	0.0079999996769451"
"57985.002	Sinistro_i	1.1598335243578976e-16	1.0682461102737877e-17	GeneralFilters	Sinistro	2.4734814800031018	0.3933086629667984	-15.935604342360328	0.0399999983845405"
"57985.006	Sinistro_i	1.1705653318270834e-16	1.1859435168181048e-17	GeneralFilters	Sinistro	2.4774814800039167	0.3940104166740975	-15.931604342360188	0.0439999982230058"
"57985.009	IMACS_r	1.0178041295421006e-16	1.8748644172933074e-18	GeneralFilters	IMACS	2.48048148000089	0.3945359888148794	-15.992335791393842	0.0079999996768883"
"57985.01	Sinistro_V	1.142518713841116e-16	1.8941374459499984e-17	GeneralFilters	Sinistro	2.4814814800047316	0.3947110382833869	-15.942136677690172	0.0719999970921088"
